article_text,category
"In address to Parliament, President Droupadi Murmu hails Ram Mandir, says strong government India’s advantage In her last address to the joint session of Parliament ahead of the Lok Sabha elections, President Droupadi Murmu said the Ram temple and removal of Article 370 were significant in the country’s efforts to overcome past challenges.",india
"Varanasi court allows puja at southern cellar of Gyanvapi mosque complex Earlier this month, the Varanasi district administration had taken possession of the southern cellar based on the court’s orders.",india
"Snowfall in Himachal finally: Normal life disrupted as dry spell breaks, 134 roads closed The MeT department has issued an orange warning of heavy snow and rains at isolated places in Himachal Pradesh on January 31 and February 1",india
"Chinese soldiers ask Ladakh shepherds not to graze cattle near LAC, councillor says nomads stood firm Reacting to the Ladakh video, the Congress said the Modi government has tried to “cover up the worst territorial setback in six decades for India” for four years.",india
"‘Taking fake credit’: Nitish Kumar hits back at Rahul Gandhi’s Bihar caste survey remark Speaking at a rally in Purnea district, where his ‘Bharat Jodo Nyay Yatra' entered on Tuesday, Gandhi said that Nitish Kumar’s recent return to the BJP-led NDA was prompted by the fact that he did not want to carry out a caste survey.",india
Security forces uncover 130-metre-long bunker made by Naxals in Bijapur Security forces found the Naxal tunnel in Tadopot village in the Bijapur district of Chhattisgarh.,india
"From Ram Temple, women’s reservation to Article 370 abrogation: President Murmu’s Budget session speech in 10 points President Murmu began her address in Parliament recounting the government’s achievements for the year 2023-24, from the passage of the Women's Reservation Bill, to India’s 100+ tally at Asian Games.",india
"Ahead of Budget session, PM Modi hits out at Opposition MPs for ‘habit of creating ruckus’ Hailing the Budget session as a ‘festival of women power’, PM Narendra Modi said President Droupadi Murmu will address the joint sitting of both Houses and Finance Minister Nirmala Sitharaman will present the interim budget.",india
"Security bolstered, prohibitory orders clamped in Ranchi ahead of Soren’s questioning by ED DGP Ajay Kumar Singh had said on Tuesday that elaborate security arrangements have been made across Jharkhand to maintain law and order, including deployment of an additional 7,000 policemen.",india
"Facing rape case, former Kerala government pleader P G Manu surrenders P G Manu has been accused of sexually assaulting a survivor in a 2018 rape case last year. The woman had approached him for help as she wanted the rape case quashed.",india
"Parliament Budget Session Live Updates: ‘Ram Mandir a reality after decades’, ‘Govt working on roadmap for next 25 years’, says President Murmu Parliament Budget Session 2024 Live Updates: ""For years, there was aspiration for construction of Ram Mandir, now it is reality,"" President Murmu said, recounting the Modi government's key decisions",india
"‘Without panchayats, people would have been protesting’: As uncertainty looms over local polls, Kashmir sarpanches have a warning Calling for panchayat polls at the earliest, sarpanches of several villages told The Indian Express that a system had evolved in which panchayats were performing efficiently to deal with local issues.",india
"Amid hijab row, more Rajasthan ministers warn schools, students to ‘follow dress code’ Earlier this week, the BJP MLA from Rajasthan’s Hawa Mahal, Balmukund Acharya, had objected to girls wearing the hijab at a government school, prompting Cabinet minister Kirodi Lal Meena to say he would talk to Chief Minister Bhajan Lal Sharma about enforcing a ban on the head covering in schools",india
"After jawan faked death to evade repayment, BSF to list personnel with loans Through a letter sent on January 24, the BSF D-G has told the headquarter heads that Rana’s case was taken “very seriously” as such incidents not only brought a bad name to the force but also had a bearing on its administration.",india
"Internet restrictions in J&K: Review orders not meant to be kept in cupboard, says SC Hearing a plea by NGO Foundation for Media Professionals, a bench of Justices B R Gavai and Sanjay Karol gave the UT administration two weeks time to appraise it whether the orders have been published or not.",india
"AMU minority status | Institute of national importance must reflect national structure: Govt to SC The CJI pointed out that the provision exempting minority educational institutions from the application of reservation to SC, ST and SEBC was provided by the 93rd amendment to the Constitution.",india
"Foreign Secy calls on Bhutan King, PM; talks on boosting ‘unique ties’ Vinay Mohan Kwatra is on a three-day trip since Monday, in the first high-level visit from India after the formation of a new government under People's Democratic Party (PDP) leader Tshering Tobgay.",india
Top court acquits man accused under SC/ST Act for molesting maid The bench also comprising Justices Prashant Kumar Mishra and Sandeep Mehta set aside trial court order convicting the accused as well as the Chhattisgarh High Court order upholding his conviction under SC/ST Act.,india
"Investment, tech boost from US can help India achieve goal of developed nation by 2047: Rajnath India-US natural partners, cooperation will act as force multiplier for rules-based world order, says Defence Minister",india
"Corruption index: India ranks 93 among 180 nations In 2023, India's overall score was 39 while in 2022, it was 40. India's rank in 2022 was 85. In the Asian region, Singapore ranked at the top, scoring 83 and occupying the fifth slot.",india
Row over Chandigarh mayor election | ‘Imagine what BJP can do in LS polls’: Opp slams ‘misuse of electoral machinery’ CPI general secretary D Raja said the “BJP’s lust for power” was most evident in Chandigarh mayor elections. He said rejecting eight votes of councillors belonging to the INDIA bloc shows their desperation,india
"Fresh violence in Manipur: Two killed during heavy firing in Imphal West Of the three injured, one is reportedly BJP’s former Manipur youth president Barish Sharma.",india
"Andhra woman held for cheating Delhi hotel of around Rs 6 lakh had Rs 41 in her account: police According to a senior police officer, the Delhi police have written to its counterpart in Andhra Pradesh to know if they could provide her actual address and details about her family members.",india
"Hindu side moves SC for ASI survey of ‘Shivling’ in sealed area of Gyanvapi mosque In the two applications, the women plaintiffs said that on the orders of the Varanasi civil court, the advocate commissioners conducted a survey during which on May 16, 2022, a big 'Shivling' under a pond was discovered.",india
"FIRs against political commentator: Politicians should be thick-skinned, says SC The bench was told by senior advocate Siddharth Agarwal and advocate Ashutosh Dubey, appearing for political commentator Garga Chatterjee, that he had made certain comments on Twitter (now X) in 2020.",india
"Provide paid maternity leave to registered road construction workers: Govt to employers in advisory In addition to childbirth, the advisory addresses miscarriages, stipulating that if a woman in the construction sector experiences a miscarriage, she is entitled to leave with wages equivalent to maternity benefits for six weeks following the day of the miscarriage.",india
Work resumes at Silkyara tunnel after 2 months Shuttering has started for the construction of a 'centre wall' of the tunnel while the work on an under construction bridge at the mouth of the tunnel from Silkyara side has also started.,india
"Flights to Ayodhya to operate on eight new routes from February 1 The new flight routes will connect Ayodhya with Delhi, Chennai, Ahmedabad, Jaipur, Patna, Darbhanga, Mumbai and Bengaluru.",india
"Maratha forts to be India’s nomination for UNESCO World Heritage List The nomination includes a total of twelve component parts or forts, out of which eight are under the protection of the Archeological Survey of India,",india
"Apologise to India, PM Modi, seek ‘diplomatic reconciliation’ to mend ties: Maldives oppn leader to President Muizzu Ibrahim's demand referred to remarks by Muizzu – regarded as pro-China – earlier in the month referring to India as a bully without naming the country.",india
"Budget Session begins today, suspension of Opposition MPs revoked The decision came hours before senior ministers met Opposition leaders and floor leaders and sought their cooperation for conduct of a smooth session.",india
"In third successful operation in 3 days, Indian Navy rescues Sri Lankan vessel hijacked by Somali pirates Three pirates surrendered to the Seychelles Coast Guard, all six crew members are safe and the vessel is being escorted to Seychelles",india
Congress leader Manvendra Singh’s wife Chitra Singh dies in Alwar road accident The Congress leader and his son also sustained injuries in the accident but are out of danger.,india
"India backs two-state solution to resolve Israel-Palestine conflict: Jaishankar Replying to a question at an interaction with students of the Indian Institute of Management (IIM), Mumbai, Jaishankar, ""It is certainly the view of India, and a very large number of countries that (the problem can be) only be done (resolved) through a two-state solution...""",india
Kharge making angry statements due to Congress’ conflicts with INDIA bloc allies: Anurag Thakur The Union Minister said the Congress government in Himachal Pradesh is not able to fulfil the guarantees it promised on the eve of the last assembly polls while its party leaders in the state are busy protesting against their own government.,india
Chhattisgarh HC issues notice to ex-CM Baghel over petition challenging his election as MLA The petition was filed by BJP MP Vijay Baghel who had unsuccessfully contested the assembly election against Bhupesh Baghel from the Patan seat.,india
"Ruling Left, opposition blame each other in Assembly on Kerala’s economic woes Earlier in the day, the UDF, in the adjournment notice, alleged that the mismanagement and extravagance of the Left government were the causes of the financial problems in the state.",india
"3 CRPF personnel killed, 14 injured in Chhattisgarh Naxal attack The incident took place hours after a new security camp was established in the village, which is 616 kilometres from state capital Raipur. On Republic Day, the Indian Tricolour was hoisted for the first time in the Sukma-Bijapur area.",india
"Ayodhya temple inauguration sounded ‘death knell’ for secularism: CPI(M) The Left party said while it respects religious beliefs which are the personal choice of every individual, the January 22 event was held only for political gains.",india
"SP releases 1st list of 16 candidates for Lok Sabha polls, Dimple Yadav to contest from UP’s Mainpuri Mainpuri is the stronghold of the Yadav family, and has been represented by former UP CM Mulayam Singh Yadav.",india
"I reside in your hearts: Hemant Soren after returning home amid suspense about whereabouts The meeting was called to discuss strategies regarding the current political situation, and the Enforcement Directorate's proposed questioning of the CM on Wednesday.",india
"I reside in your hearts: Hemant Soren after returning home amid suspense about whereabouts The meeting was called to discuss strategies regarding the current political situation, and the Enforcement Directorate's proposed questioning of the CM on Wednesday.",india
"Security personnel recover IEDs planted by Maoists in Chattisgarh’s Dantewada, avert tragedy A major tragedy was averted on Tuesday with the recovery of two improvised explosive devices (IEDs) which were planted by Maoists on dirt tracks in Chhattisgarh's Dantewada district to target security personnel, a police officer said.",india
Congress’ position is ‘not very favourable’ in Himachal: Jai Ram Thakur Leader of Opposition Jai Ram Thakur has said there are all kinds of possibilities in politics and the position of the Congress is not very favourable in Himachal Pradesh.,india
‘We don’t need him’: Rahul Gandhi’s first reaction after Nitish Kumar switches to BJP Rahul Gandhi alleged that the ruling BJP was spreading hatred and violence to divert attention from pressing social and economic issues.,india
"AAP slams BJP for ‘cheating’ to win Chandigarh mayoral polls Kejriwal slammed the BJP over its candidate’s victory in a post on X in Hindi, and said “those who did it can go to any extent in the national elections”.",india
"SC extends protection from arrest to SHUATS VC, others in religious conversion case The FIR against them was lodged by a woman, a former contractual employee of the university, on November 4, 2023, in Hamirpur district of Uttar Pradesh.",india
India’s human capital being ‘systematically decimated’ under Modi govt: Mallikarjun Kharge The Congress has been targeting the PM Modi government on social sector spending and have accused the government of reducing their budgets.,india
"Gujarat man detained for bomb hoax at Goa airport During the check-in at Manohar International Airport, the man who was going to Ahmedabad told the staff that he was carrying a bomb.",india
"‘Five trillion dollar economy, Modi’s guarantee a jumla’: Priyanka Gandhi slams Centre over youths queuing up for jobs in Israel Vadra also criticised why youths have been standing in queue for two days to be send in the midst of a war.",india
"Seized Rs 36 lakh in cash, BMW from Jharkhand CM Hemant Soren’s house in Delhi: ED On Monday, Enforcement Directorate officials carried out a search at Jharkhand CM Hemant Soren’s house in Delhi in connection with a money laundering investigation in an alleged land fraud case.",india
"‘BJP ready to waive loans of Adani, Ambani; not farmers’: Rahul Gandhi on Day 2 of Bharat Jodo Nyay Yatra in Bihar Congress leader Rahul Gandhi addressed farmers in Bihar’s Purnia on Tuesday and hit out at the BJP for refusing to waive farmer loans and pressuring farmers to buy fertilisers and seeds at higher prices.",india
"Ahead of Budget Session of Parliament, 11 suspended RS MPs reinstated During an all-party meet ahead of the Budget session, the Centre assured the leaders of various political parties that they were ready to discuss every issue",india
"Parliamentary floor leaders meet ahead of Budget session Congress MP Pramod Tiwari, who represented the Leader of Opposition in Rajya Sabha Mallikarjun Kharge, said he raised the issue of the ""violent attack"" on the Bharat Jodo Yatra led by Rahul Gandhi in Assam and the state government's curbs on it.",india
"Bharat Jodo Nyay Yatra Live Updates | As Rahul Gandhi’s car suffers damage, Cong cites sudden braking, Adhir alleges stone-pelting Bharat Jodo Nyay Yatra Live Updates, Day 17: West Bengal Chief Minister Mamata Banerjee had claimed that Congress leader Rahul Gandhi's vehicle was not attacked in the state but in Bihar's Katihar.",india
Those who glorify Godse will not be allowed to define idea of India: Congress on Martyrs’ Day The party also said that those who glorify Mahatma Gandhi's assassin Nathuram Godse should not and will not be allowed to define the idea of India.,india
Navy rescues 19 Pak nationals from 11 Somali pirates – second successful op in 36 hours INS Sumitra carried out the anti-piracy operation off the east coast of Somalia. Pirates had boarded the Iranian-flagged fishing vessel Al Naeemi and taken the 19-member crew hostage.,india
"Kerala court awards death sentence to 15 PFI-SDPI men over 2021 murder of BJP leader Ranjith Sreenivasan Ranjith, 45, the BJP OBC Morcha state secretary, was hacked to death in front of his wife, mother and minor daughter in Alappuzha town on December 19, 2021.",india
"Weather update: Dense fog shrouds several northern states; heavy showers, snowfall predicted in Kashmir, Himachal For the next five days, cold wave conditions are unlikely to prevail over the most parts of the country.",india
"Mahatma Gandhi’s 76th death anniversary: PM Modi, leaders across party lines pay tribute to ‘Father of the Nation’ Gandhi who is also termed as the father of the nation, was assassinated on January 30, 1948, by Nathuram Godse at the Birla House in New Delhi. The day is observed as Martyrs' Day in the nation.",india
Bharat Jodo Nyay Yatra Highlights: Rahul Gandhi to address a mega rally in Bihar’s Purnea today Bharat Jodo Nyay Yatra Highlights: The rally in Purnea will be attended by Congress president Mallikarjun Kharge and CPI(ML) leader Dipankar Bhattacharya,india
"Long before the Oscar-nomination, a father’s fight for justice for his daughter ‘To Kill A Tiger’ tells the story of a 13-year-old who was gangraped by three of her relatives in a Jharkhand village in May 2017",india
"Gyanvapi case: Hindu side urges SC to vacate stay on survey Subsequently the area was sealed as per orders of the Civil Judge and the SC, too, directed it shall continue to remain sealed.",india
"Explained Live today to discuss the future of India’s space plans Simultaneously, the private space industry is expected to emerge as a significant player in launching satellites, gathering space-related data, and offering space-based solutions for different kinds of needs.",india
"Taliban minister discusses regional ties with diplomats of 11 countries According to the Taliban foreign ministry deputy spokesperson Hafiz Zia Ahmad, diplomats of India, Kazakhstan, Turkey, Russia, China, Iran, Pakistan, Uzbekistan, Turkmenistan, Indonesia and Kyrgyzstan took part in the meeting.",india
"Ram temple consecration ceremony | No order to stop telecast, attempt to portray TN govt as anti-Hindu, says DGP Of 288 applications, 4 cleared before court intervention: Affidavit",india
"Congress: TMC tried to disrupt yatra, but seat-sharing doors still open The TMC on the other hand blamed the failure in sharing of seats on the Congress, with party MP Abhishek Banerjee saying the party made “no progress” despite repeated reminders over the last seven months.",india
"Army on alert as less snowfall keeps J&K infiltration routes open According to sources, due to the lack of heavy snow all infiltration routes have continued to remain open during the winters and infiltration bids have continued to take place.",india
"In Rajasthan, BJP MLA stirs up hijab row in school, minister says Muslim ‘thinking more towards crime’ On Monday morning, Acharya visited the Government Girls Secondary School in Jaipur’s Gangapol locality. In a video that surfaced afterwards, he can be seen pulling up a school administrator over some students wearing the hijab.",india
"Govt brings non-urea fertilisers under price control, fixes profit margins NBS fertilisers — unlike urea, whose maximum retail price (MRP) is fixed by the government — are technically decontrolled. Under the NBS scheme, introduced in April 2010, their MRPs are supposed to be market-determined and set by the individual companies selling them.",india
"Fingerprints to videos and photos, NIA builds its own database of terrorists The National Terrorism Data Fusion & Analysis Centre (NTDFAC), which is modelled along the lines of the Global Terrorism Database of the US, is scheduled to be inaugurated by Union Home Minister Amit Shah on Tuesday.",india
"Girl caught in a tripartite custody battle, HC rules in favour of Agra woman who fostered her The District Probation Officer's report dated October 20, 2022, is “wholly vague and extraneous”, the bench ruled, adding that “only generalised observations have been made to consider the petitioner's eligibility”.",india
Vivo money laundering case: Delhi Court grants bail to alleged ‘main mastermind’ Court observes chartered accountant had no role to play in activities of companies after their incorporation in 2014,india
"Indians largest group of international graduate students in US US issued over 1.4 lakh student visas to Indians in 2023, says Embassy",india
Establishing rule of law and good governance our top priorities: Bihar Deputy CMs Only eight ministers besides Chief Minister Nitish Kumar were sworn in on Sunday and a full-fledged government was much needed.,india
"ED questions Lalu Prasad Yadav, Bhupinder Singh Hooda, team camps at Hemant Soren’s house in Delhi The central agency had on January 19 issued fresh summons for questioning Prasad and his son Tejashwi Yadav.",india
Inaugural edition of India-Saudi Arabia joint military exercise gets underway in Rajasthan The exercise is scheduled to be conducted till February 10.,india
"‘Like Putin in Russia’: Kharge says coming election will be the last if Modi returns to power Addressing a rally in Bhubaneswar, Kharge appealed to people to “save democracy”, and said that if Modi wins the Lok Sabha polls, there will not be another election after that.",india
"In Madhya Pradesh, man smothers SDM wife to death for not adding him as nominee in bank account, insurance He allegedly suffocated her with a pillow and sat near the corpse for six hours before taking the body to the nearby community health centre.",india
I fall asleep within 30 seconds of going to bed: PM cautions students against excessive screen time PM Narendra Modi stressed the need for a balanced diet and also emphasised the importance of regular exercise and physical activities for fitness.,india
"Watch: Beating retreat ceremony underway at Vijay Chowk in New Delhi President and Supreme Commander of the Armed Forces Droupadi Murmu arrived at the venue in the traditional 'buggy', which was brought back during this year's Republic Day parade after a gap of 40 years.",india
"Centre extends ban on terror outfit SIMI under UAPA for another 5 years In a gazette notification, the Ministry of Home Affairs cited about 17 terror cases where SIMI activists were allegedly involved over the last few years and at least 27 SIMI members who were sentenced by courts in different cases.",india
"UP couple kill 14-year-old daughter, try to frame neighbours in murder case The police also arrested an aunt and two uncles of the victim for assisting the couple in the October 29 murder and the subsequent cover-up.",india
"As Bharat Jodo Nyay Yatra enters Bihar, Rahul silent on Nitish, Jairam Ramesh says his exit won’t affect INDIA Rahul Gandhi resumes his Yatra from Chopra in West Bengal’s Uttar Dinajpur district around 8.30 am and addresses a rally in Bihar’s Kishanganj at 11 am.",india
Indian Navy rescues Iranian fishing vessel hijacked by Somali pirates The Indian Navy said the Iranian-flagged fishing vessel was sanitised and released for onward transit after being hijacked.,india
"Elections to 56 Rajya Sabha seats from 15 states on Feb 27 Nominations for the elections will be open from February 8 to February 15. The last date for the withdrawal of candidature is February 20, and polling and counting are scheduled for February 27.",india
"‘Mummy, papa, I can’t do JEE’: 18-year-old dies by suicide in Kota According to the police, her father works as a security guard at a bank, and she was the eldest of three daughters.",india
"Govt of Uttarakhand to refurbish 6 houses into homestays, villagers to be provided with training Approved by the Cabinet, the unique initiative will become a milestone towards reverse migration through government intervention, creating new opportunities within the sector.",india
"Chhattisgarh headmaster arrested for speech ‘asking people not to believe in Hindu gods’ A video of the speech was later uploaded to YouTube, after which a Hindu right-wing activist named Rupesh Shukla approached the local police with a complaint. Shukla complained that the speech hurt the sentiments of the followers of Sanatan Dharma.",india
"Uttarakhand to introduce Uniform Civil Code Bill, panel to submit draft on February 2: CM Pushkar Singh Dhami CM Dhami say his government is determined to implement the UCC before the Lok Sabha elections.",india
"NCP faction fight: SC gives Maharashtra Speaker Feb 15 deadline to decide disqualification petitions against Ajit Pawar In October last year, the SC had given Narwekar time until January 31 to hear and decide the nine disqualification petitions against the Ajit Pawar camp.",india
"NCP faction fight: SC gives Maharashtra Speaker Feb 15 deadline to decide disqualification petitions against Ajit Pawar In October last year, the SC had given Narwekar time until January 31 to hear and decide the nine disqualification petitions against the Ajit Pawar camp.",india
"‘Don’t need certificate from Assam or Bihar CM’: Congress on Himanta’s ‘BJP’s star campaigner’ jibe for Rahul Gandhi We got a lot of publicity for the Bharat Jodo Nyay Yatra from the Assam CM, Jairam Ramesh said,",india
SC dismiss AP govt’s plea against anticipatory bail to TDP chief Naidu in Inner Ring Road scam case A bench of Justices Sanjiv Khana and Dipankar Datta dismissed the plea of the state government in which it has challenged the high court order of January 10 giving relief to Naidu.,india
"SC transfers to itself pleas related to alleged irregularities in MBBS admissions from Calcutta HC The single-judge bench of Justice Abhijit Gangopadhyay had directed that a CBI probe ordered into alleged irregularities in MBBS admissions in West Bengal will continue, despite a contrary order of a division bench.",india
"Sachin Pilot at Idea Exchange: ‘Raising funds for anybody except the ruling party is tough… the Govt knows exactly who’s getting what’ The Congress general secretary in-charge of Chhattisgarh, Sachin Pilot on the need to separate religion and politics, the INDIA alliance, and the party’s poll losses in Rajasthan and Chhattisgarh. This session was moderated by Manoj CG, chief of National Political Bureau.",india
"Rajasthan, MP, Centre sign MoU for modified river linking project The project envisages integration of original PKC river link project with Eastern Rajasthan Canal Project to implement it as an inter-state river linking project under the national perspective plan of interlinking of rivers (ILR) programme of the Government of India.",india
"J&K student held, expelled from varsity over social media post According to Gangrar police station SHO Jayesh Patidar, Qayoom, 21, had posted some objectionable comments as an Instagram story.",india
"6 people from Bihar arrested in Tripura with over 900 bottles of banned cough syrup The contraband was being transported to Tripura via Bihar and West Bengal, according to officials.",india
"Responsibility of all in Bengal to stand united against hatred: Rahul Gandhi in Siliguri While one of Congress’s INDIA bloc allies – TMC – chose not to take part in the yatra, another – CPI(M) – joined in.",india
"Uttarakhand Waqf Board says its madrasas will teach Lord Ram’s story, values According to board chairman Shadab Shams, they will implement the changes in four madrasas from March this year and later extend it to all 117 madrasas under them.",india
"100-bed yoga and naturopathy hospital to come up in Assam’s Dibrugarh The institution will offer facilities to train yoga and naturopathy experts for capacity building programmes in areas of cardiac rehabilitation, diabetes rehabilitation, autoimmune diseases and NCD risk reduction.",india
Govt clarifies de-reservation policy after uproar over UGC draft guidelines Education Ministry says centrally funded universities will not de-reserve any reserved faculty positions,india
"BJP-JD(U) alliance will shatter before Bihar Assembly polls next year: Prashant Kishor after Nitish jumps ship Prashant Kishore, who has worked closely in his professional capacity for both PM Modi and the JD(U) supremo, said that BJP will have a tough time explaining to its voters why it backed Kumar, despite having said that its doors were closed for him.",india
"Whether it is freedom of expression, personal freedom or social justice, SC has strengthened India’s vibrant democracy: PM Modi PM Narendra Modi was delivering the inaugural address at the diamond jubilee celebrations of the Supreme Court.",india
"AAP will contest all assembly seats in Haryana on its own, LS polls as part of INDIA bloc: Kejriwal The Lok Sabha polls are due in April-May while the assembly elections will be held later this year a few months after the general elections.",india
