processed_text,compound_score,sentiment
address parliament president droupadi murmu hails ram mandir says strong government india advantage last address joint session parliament ahead lok sabha elections president droupadi murmu said ram temple removal article significant country efforts overcome past challenges,0.7506,positive
varanasi court allows puja southern cellar gyanvapi mosque complex earlier month varanasi district administration taken possession southern cellar based court orders,0.0,neutral
snowfall himachal finally normal life disrupted dry spell breaks roads closed met department issued orange warning heavy snow rains isolated places himachal pradesh january february,-0.5719,negative
chinese soldiers ask ladakh shepherds graze cattle near lac councillor says nomads stood firm reacting ladakh video congress said modi government tried cover worst territorial setback six decades india four years,-0.6249,negative
taking fake credit nitish kumar hits back rahul gandhi bihar caste survey remark speaking rally purnea district bharat jodo nyay yatra entered tuesday gandhi said nitish kumar recent return nda prompted fact want carry caste survey,-0.0516,negative
security forces uncover bunker made naxals bijapur security forces found naxal tunnel tadopot village bijapur district chhattisgarh,0.5859,positive
ram temple women reservation article abrogation president murmu budget session speech points president murmu began address parliament recounting government achievements year passage women reservation bill india tally asian games,0.0,neutral
ahead budget session pm modi hits opposition mps habit creating ruckus hailing budget session festival women power pm narendra modi said president droupadi murmu address joint sitting houses finance minister nirmala sitharaman present interim budget,0.6597,positive
security bolstered prohibitory orders clamped ranchi ahead soren questioning ed dgp ajay kumar singh said tuesday elaborate security arrangements made across jharkhand maintain law order including deployment additional policemen,0.5267,positive
facing rape case former kerala government pleader p g manu surrenders p g manu accused sexually assaulting survivor rape case last year woman approached help wanted rape case quashed,-0.9468,negative
parliament budget session live updates ram mandir reality decades govt working roadmap next years says president murmu parliament budget session live updates years aspiration construction ram mandir reality president murmu said recounting modi government key decisions,0.0,neutral
without panchayats people would protesting uncertainty looms local polls kashmir sarpanches warning calling panchayat polls earliest sarpanches several villages told indian express system evolved panchayats performing efficiently deal local issues,-0.6705,negative
amid hijab row rajasthan ministers warn schools students follow dress code earlier week bjp mla rajasthan hawa mahal balmukund acharya objected girls wearing hijab government school prompting cabinet minister kirodi lal meena say would talk chief minister bhajan lal sharma enforcing ban head covering schools,-0.6124,negative
jawan faked death evade repayment bsf list personnel loans letter sent january bsf told headquarter heads rana case taken seriously incidents brought bad name force also bearing administration,-0.8442,negative
internet restrictions j k review orders meant kept cupboard says sc hearing plea ngo foundation media professionals bench justices b r gavai sanjay karol gave ut administration two weeks time appraise whether orders published,0.0,neutral
amu minority status institute national importance must reflect national structure govt sc cji pointed provision exempting minority educational institutions application reservation sc st sebc provided amendment constitution,0.3612,positive
foreign secy calls bhutan king pm talks boosting unique ties vinay mohan kwatra trip since monday first visit india formation new government people democratic party pdp leader tshering tobgay,0.6249,positive
top court acquits man accused act molesting maid bench also comprising justices prashant kumar mishra sandeep mehta set aside trial court order convicting accused well chhattisgarh high court order upholding conviction act,-0.6369,negative
investment tech boost us help india achieve goal developed nation rajnath natural partners cooperation act force multiplier world order says defence minister,0.8074,positive
corruption index india ranks among nations india overall score india rank asian region singapore ranked top scoring occupying fifth slot,0.2023,positive
row chandigarh mayor election imagine bjp ls polls opp slams misuse electoral machinery cpi general secretary raja said bjp lust power evident chandigarh mayor elections said rejecting eight votes councillors belonging india bloc shows desperation,-0.7184,negative
fresh violence manipur two killed heavy firing imphal west three injured one reportedly bjp former manipur youth president barish sharma,-0.9081,negative
andhra woman held cheating delhi hotel around rs lakh rs account police according senior police officer delhi police written counterpart andhra pradesh know could provide actual address details family members,-0.5574,negative
hindu side moves sc asi survey shivling sealed area gyanvapi mosque two applications women plaintiffs said orders varanasi civil court advocate commissioners conducted survey may big pond discovered,0.0,neutral
firs political commentator politicians says sc bench told senior advocate siddharth agarwal advocate ashutosh dubey appearing political commentator garga chatterjee made certain comments twitter x,0.2732,positive
provide paid maternity leave registered road construction workers govt employers advisory addition childbirth advisory addresses miscarriages stipulating woman construction sector experiences miscarriage entitled leave wages equivalent maternity benefits six weeks following day miscarriage,0.5106,positive
work resumes silkyara tunnel months shuttering started construction wall tunnel work construction bridge mouth tunnel silkyara side also started,0.0,neutral
flights ayodhya operate eight new routes february new flight routes connect ayodhya delhi chennai ahmedabad jaipur patna darbhanga mumbai bengaluru,0.0,neutral
maratha forts india nomination unesco world heritage list nomination includes total twelve component parts forts eight protection archeological survey india,0.0,neutral
apologise india pm modi seek diplomatic reconciliation mend ties maldives oppn leader president muizzu ibrahim demand referred remarks muizzu regarded earlier month referring india bully without naming country,-0.2732,negative
budget session begins today suspension opposition mps revoked decision came hours senior ministers met opposition leaders floor leaders sought cooperation conduct smooth session,0.0,neutral
third successful operation days indian navy rescues sri lankan vessel hijacked somali pirates three pirates surrendered seychelles coast guard six crew members safe vessel escorted seychelles,0.8402,positive
congress leader manvendra singh wife chitra singh dies alwar road accident congress leader son also sustained injuries accident danger,-0.8625,negative
india backs solution resolve conflict jaishankar replying question interaction students indian institute management iim mumbai jaishankar certainly view india large number countries problem done resolved solution,0.6597,positive
kharge making angry statements due congress conflicts india bloc allies anurag thakur union minister said congress government himachal pradesh able fulfil guarantees promised eve last assembly polls party leaders state busy protesting government,-0.5423,negative
chhattisgarh hc issues notice baghel petition challenging election mla petition filed bjp mp vijay baghel unsuccessfully contested assembly election bhupesh baghel patan seat,-0.2732,negative
ruling left opposition blame assembly kerala economic woes earlier day udf adjournment notice alleged mismanagement extravagance left government causes financial problems state,-0.7906,negative
crpf personnel killed injured chhattisgarh naxal attack incident took place hours new security camp established village kilometres state capital raipur republic day indian tricolour hoisted first time area,-0.836,negative
ayodhya temple inauguration sounded death knell secularism cpi left party said respects religious beliefs personal choice every individual january event held political gains,0.3612,positive
sp releases list candidates lok sabha polls dimple yadav contest mainpuri mainpuri stronghold yadav family represented former cm mulayam singh yadav,0.128,positive
reside hearts hemant soren returning home amid suspense whereabouts meeting called discuss strategies regarding current political situation enforcement directorate proposed questioning cm wednesday,-0.1027,negative
security personnel recover ieds planted maoists chattisgarh dantewada avert tragedy major tragedy averted tuesday recovery two improvised explosive devices ieds planted maoists dirt tracks chhattisgarh dantewada district target security personnel police officer said,-0.8555,negative
congress position favourable himachal jai ram thakur leader opposition jai ram thakur said kinds possibilities politics position congress favourable himachal pradesh,0.0,neutral
need rahul gandhi first reaction nitish kumar switches bjp rahul gandhi alleged ruling bjp spreading hatred violence divert attention pressing social economic issues,-0.8519,negative
aap slams bjp cheating win chandigarh mayoral polls kejriwal slammed bjp candidate victory post x hindi said go extent national elections,0.0516,positive
sc extends protection arrest shuats vc others religious conversion case fir lodged woman former contractual employee university november hamirpur district uttar pradesh,-0.2263,negative
india human capital systematically decimated modi govt mallikarjun kharge congress targeting pm modi government social sector spending accused government reducing budgets,-0.296,negative
gujarat man detained bomb hoax goa airport manohar international airport man going ahmedabad told staff carrying bomb,-0.8807,negative
five trillion dollar economy modi guarantee jumla priyanka gandhi slams centre youths queuing jobs israel vadra also criticised youths standing queue two days send midst war,-0.6908,negative
seized rs lakh cash bmw jharkhand cm hemant soren house delhi ed monday enforcement directorate officials carried search jharkhand cm hemant soren house delhi connection money laundering investigation alleged land fraud case,-0.5859,negative
bjp ready waive loans adani ambani farmers rahul gandhi day bharat jodo nyay yatra bihar congress leader rahul gandhi addressed farmers bihar purnia tuesday hit bjp refusing waive farmer loans pressuring farmers buy fertilisers seeds higher prices,-0.3818,negative
ahead budget session parliament suspended rs mps reinstated meet ahead budget session centre assured leaders various political parties ready discuss every issue,0.5574,positive
parliamentary floor leaders meet ahead budget session congress mp pramod tiwari represented leader opposition rajya sabha mallikarjun kharge said raised issue violent attack bharat jodo yatra led rahul gandhi assam state government curbs,-0.7906,negative
bharat jodo nyay yatra live updates rahul gandhi car suffers damage cong cites sudden braking adhir alleges bharat jodo nyay yatra live updates day west bengal chief minister mamata banerjee claimed congress leader rahul gandhi vehicle attacked state bihar katihar,-0.8519,negative
glorify godse allowed define idea india congress martyrs day party also said glorify mahatma gandhi assassin nathuram godse allowed define idea india,0.8779,positive
navy rescues pak nationals somali pirates second successful op hours ins sumitra carried operation east coast somalia pirates boarded fishing vessel al naeemi taken crew hostage,0.7269,positive
kerala court awards death sentence men murder bjp leader ranjith sreenivasan ranjith bjp obc morcha state secretary hacked death front wife mother minor daughter alappuzha town december,-0.9169,negative
weather update dense fog shrouds several northern states heavy showers snowfall predicted kashmir himachal next five days cold wave conditions unlikely prevail parts country,0.0,neutral
mahatma gandhi death anniversary pm modi leaders across party lines pay tribute father nation gandhi also termed father nation assassinated january nathuram godse birla house new delhi day observed martyrs day nation,-0.3818,negative
bharat jodo nyay yatra highlights rahul gandhi address mega rally bihar purnea today bharat jodo nyay yatra highlights rally purnea attended congress president mallikarjun kharge cpi ml leader dipankar bhattacharya,0.0,neutral
long father fight justice daughter kill tiger tells story gangraped three relatives jharkhand village may,-0.5994,negative
gyanvapi case hindu side urges sc vacate stay survey subsequently area sealed per orders civil judge sc directed shall continue remain sealed,0.0,neutral
explained live today discuss future india space plans simultaneously private space industry expected emerge significant player launching satellites gathering data offering solutions different kinds needs,0.3612,positive
taliban minister discusses regional ties diplomats countries according taliban foreign ministry deputy spokesperson hafiz zia ahmad diplomats india kazakhstan turkey russia china iran pakistan uzbekistan turkmenistan indonesia kyrgyzstan took part meeting,0.0,neutral
ram temple consecration ceremony order stop telecast attempt portray tn govt says dgp applications cleared court intervention affidavit,-0.2023,negative
congress tmc tried disrupt yatra doors still open tmc hand blamed failure sharing seats congress party mp abhishek banerjee saying party made progress despite repeated reminders last seven months,0.7783,positive
army alert less snowfall keeps j k infiltration routes open according sources due lack heavy snow infiltration routes continued remain open winters infiltration bids continued take place,-0.0258,neutral
rajasthan bjp mla stirs hijab row school minister says muslim thinking towards crime monday morning acharya visited government girls secondary school jaipur gangapol locality video surfaced afterwards seen pulling school administrator students wearing hijab,-0.5423,negative
govt brings fertilisers price control fixes profit margins nbs fertilisers unlike urea whose maximum retail price mrp fixed government technically decontrolled nbs scheme introduced april mrps supposed set individual companies selling,0.4404,positive
fingerprints videos photos nia builds database terrorists national terrorism data fusion analysis centre ntdfac modelled along lines global terrorism database us scheduled inaugurated union home minister amit shah tuesday,-0.936,negative
girl caught tripartite custody battle hc rules favour agra woman fostered district probation officer report dated october wholly vague extraneous bench ruled adding generalised observations made consider petitioner eligibility,-0.0258,neutral
vivo money laundering case delhi court grants bail alleged main mastermind court observes chartered accountant role play activities companies incorporation,0.5106,positive
indians largest group international graduate students us us issued lakh student visas indians says embassy,0.0,neutral
establishing rule law good governance top priorities bihar deputy cms eight ministers besides chief minister nitish kumar sworn sunday government much needed,0.5719,positive
ed questions lalu prasad yadav bhupinder singh hooda team camps hemant soren house delhi central agency january issued fresh summons questioning prasad son tejashwi yadav,0.2263,positive
inaugural edition arabia joint military exercise gets underway rajasthan exercise scheduled conducted till february,0.0,neutral
like putin russia kharge says coming election last modi returns power addressing rally bhubaneswar kharge appealed people save democracy said modi wins lok sabha polls another election,0.8555,positive
madhya pradesh man smothers sdm wife death adding nominee bank account insurance allegedly suffocated pillow sat near corpse six hours taking body nearby community health centre,-0.8885,negative
fall asleep within seconds going bed pm cautions students excessive screen time pm narendra modi stressed need balanced diet also emphasised importance regular exercise physical activities fitness,0.296,positive
watch beating retreat ceremony underway vijay chowk new delhi president supreme commander armed forces droupadi murmu arrived venue traditional brought back year republic day parade gap years,0.34,positive
centre extends ban terror outfit simi uapa another years gazette notification ministry home affairs cited terror cases simi activists allegedly involved last years least simi members sentenced courts different cases,-0.875,negative
couple kill daughter try frame neighbours murder case police also arrested aunt two uncles victim assisting couple october murder subsequent,-0.9652,negative
bharat jodo nyay yatra enters bihar rahul silent nitish jairam ramesh says exit affect india rahul gandhi resumes yatra chopra west bengal uttar dinajpur district around addresses rally bihar kishanganj,0.0,neutral
indian navy rescues iranian fishing vessel hijacked somali pirates indian navy said fishing vessel sanitised released onward transit hijacked,0.3182,positive
elections rajya sabha seats states feb nominations elections open february february last date withdrawal candidature february polling counting scheduled february,0.0258,neutral
mummy papa jee dies suicide kota according police father works security guard bank eldest three daughters,-0.4767,negative
govt uttarakhand refurbish houses homestays villagers provided training approved cabinet unique initiative become milestone towards reverse migration government intervention creating new opportunities within sector,0.765,positive
chhattisgarh headmaster arrested speech asking people believe hindu gods video speech later uploaded youtube hindu activist named rupesh shukla approached local police complaint shukla complained speech hurt sentiments followers sanatan dharma,-0.886,negative
uttarakhand introduce uniform civil code bill panel submit draft february cm pushkar singh dhami cm dhami say government determined implement ucc lok sabha elections,0.34,positive
ncp faction fight sc gives maharashtra speaker feb deadline decide disqualification petitions ajit pawar october last year sc given narwekar time january hear decide nine disqualification petitions ajit pawar camp,-0.3818,negative
need certificate assam bihar cm congress himanta bjp star campaigner jibe rahul gandhi got lot publicity bharat jodo nyay yatra assam cm jairam ramesh said,0.0,neutral
sc dismiss ap govt plea anticipatory bail tdp chief naidu inner ring road scam case bench justices sanjiv khana dipankar datta dismissed plea state government challenged high court order january giving relief naidu,0.1027,positive
sc transfers pleas related alleged irregularities mbbs admissions calcutta hc bench justice abhijit gangopadhyay directed cbi probe ordered alleged irregularities mbbs admissions west bengal continue despite contrary order division bench,0.5267,positive
sachin pilot idea exchange raising funds anybody except ruling party govt knows exactly getting congress general secretary chhattisgarh sachin pilot need separate religion politics india alliance party poll losses rajasthan chhattisgarh session moderated manoj cg chief national political bureau,0.4019,positive
rajasthan mp centre sign mou modified river linking project project envisages integration original pkc river link project eastern rajasthan canal project implement river linking project national perspective plan interlinking rivers ilr programme government india,0.3182,positive
j k student held expelled varsity social media post according gangrar police station sho jayesh patidar qayoom posted objectionable comments instagram story,-0.25,negative
people bihar arrested tripura bottles banned cough syrup contraband transported tripura via bihar west bengal according officials,-0.7269,negative
responsibility bengal stand united hatred rahul gandhi siliguri one congress india bloc allies tmc chose take part yatra another cpi joined,-0.34,negative
uttarakhand waqf board says madrasas teach lord ram story values according board chairman shadab shams implement changes four madrasas march year later extend madrasas,0.5267,positive
yoga naturopathy hospital come assam dibrugarh institution offer facilities train yoga naturopathy experts capacity building programmes areas cardiac rehabilitation diabetes rehabilitation autoimmune diseases ncd risk reduction,-0.2732,negative
govt clarifies policy uproar ugc draft guidelines education ministry says centrally funded universities reserved faculty positions,0.2263,positive
u alliance shatter bihar assembly polls next year prashant kishor nitish jumps ship prashant kishore worked closely professional capacity pm modi jd u supremo said bjp tough time explaining voters backed kumar despite said doors closed,0.3612,positive
whether freedom expression personal freedom social justice sc strengthened india vibrant democracy pm modi pm narendra modi delivering inaugural address diamond jubilee celebrations supreme court,0.975,positive
aap contest assembly seats haryana ls polls part india bloc kejriwal lok sabha polls due assembly elections held later year months general elections,0.0,neutral
ram mandir consecration united nation like garland tied single thread tripura cm manik saha manik saha accused erstwhile upa government centre former left front government tripura engaging rampant corruption,0.6705,positive
india assist rescue sri lanka fishermen captured somali pirates fishing trawler lorenzo set sail dikowita fishing harbour sri lanka january,0.5106,positive
couple teenage son found dead home gwalior bodies three persons found dead police broke house official said,-0.9081,negative
nitish kumar forms govt bihar nda full list cabinet ministers ceremony new bihar government took place pm sunday,0.0,neutral
supreme court turns cji chandrachud bats start tough conversations long vacations adjournment culture speaking foundation day supreme court chief justice india chandrachud also stressed need provide field lawyers,0.8271,positive
aya ram gaya ram congress chief mallikarjun kharge nitish kumar leaving india bloc nitish kumar following resignation bihar cm also said leaving opposition india alliance,-0.296,negative
nitish kumar pm modi congratulates jd u chief returns nda india bloc condemns move nitish kumar resigns news rjd congress three left parties together mlas eight short majority house jd u mlas bjp along support one independent legislator together make mlas,-0.0516,negative
left india things working nitish kumar resigning bihar cm nitish kumar resigns news snapping ties rjd congress nitish kumar forming government bjp support happen pm,-0.128,negative
prabhu ram ka shashan source inspiration makers constitution modi pran pratishtha ayodhya bound crores people country together says pm episode mann ki baat,0.5267,positive
bharat jodo nyay yatra highlights nitish kumar betrayal people bihar giving great welcome rahul gandhi says jairam ramesh bharat jodo nyay yatra highlights passing west bengal congress leader rahul bharat jodo nyay yatra entered bihar kishanganj district also party stronghold,0.836,positive
missing odisha fisherman murdered unknown crew member goa police said postmortem revealed injuries chest neck suggesting assault,-0.886,negative
welcome progress mro leap rafale engines scorpene subs made india imrh engine partnership joint statement released prime minister narendra modi held talks visiting french president republic day chief guest emmanuel macron thursday friday,0.7003,positive
bjp launches kerala rally yatra comes close heels two road shows rallies prime minister narendra modi earlier month,0.0,neutral
bjp appoints ls poll panda gets tawde bihar names include bihar mangal pandey west bengal tripura biplab kumar deb haryana bjp general secretary tarun chugh j k ladakh,0.0,neutral
jaishankar meets texas governor says impressed commitment stronger ties abbott visit india comes time government odds joe biden administration illegal immigration along border,0.5719,positive
science minister hosts women scientists isro invited eight scientists india space agency tableau depicting successful landing moon,0.5859,positive
confined cultural programmes women proving mettle sectors pm said women officers given permanent commission three defence services placed command roles combat positions forces,-0.25,negative
backing convicted leaders disrespect executive constitution pm last session parliament december last year opposition mps lok sabha rajya sabha suspended following ruckus houses demand statement government parliament security breach,-0.5994,negative
india working us closely resolve outgoing canada nsa nijjar killing canada national security advisor jody thomas retired friday years public service told canadian news channel ctv describe indians cooperating think made advancements relationship,0.2023,positive
rahul gandhi resumes yatra mallikarjun kharge urges cm ensure safety yatra slated west bengal january via malda traversing murshidabad renowned congress bastions exiting state february,0.6597,positive
one nation one election kovind meets lalit presentation economic benefits simultaneous polls made committee,0.3818,positive
champion trap shooter preeti rajak becomes first woman subedar army subedar rajak currently ranked sixth india trap women event trains army marksmanship unit amu preparation paris olympic games,0.0772,positive
manipur situation turned bad worse kharge shah kharge detailed recent developments state noting january meeting convened historical kangla fort imphal heavily guarded central state security forces,-0.6369,negative
time change new trend obstructing house proceedings planned manner om birla addressing india presiding officers conference aipoc birla said enough space give voice dissent democratic system therefore disruption used tool protest dissent,-0.5423,negative
uttarakhand jadung village abandoned since war set rehabilitation part initiative tourism department aims call back descendants original homeowners residing nearby villages revitalise village,-0.6808,negative
possible india remain truly china sitting frontiers shashi tharoor tharoor said though india treaty like nato partnered us australia japan quad,0.6597,positive
bangladeshi nationals arrested tripura illegally entering india indian tout also held badharghat railway station,-0.5574,negative
good parliament state legislatures pm modi parties defending members disrupting house rules addressing india presiding officers conference aipoc virtually warned augur well parliament state legislatures,0.6808,positive
call humanitarian ceasefire flow aid gaza joint statement two leaders express grave concern expansion conflict region including red sea,-0.5994,negative
held tripura assaulting youth rubbing salt chilli powder wounds initially police told youth stolen mobile phone local sources later told proposed love girl happens sister one accused,-0.5423,negative
militant surrenders bsf outpost tripura earlier january five nlft bm ultras surrendered state police,0.0,neutral
kerala governor stepping vehicle security protocol cm vijayan vijayan also pointed position authority law,0.4019,positive
indian army gets first woman subedar subedar rajak joined army corps military police december,0.0,neutral
architect developed india pm modi youth ncc rally number women central security forces doubled last years prime minister modi said added states also encouraged follow similar path,0.6369,positive
lok sabha polls prep nda launches padayatra across kerala padayatra started kasaragod slogan modi guarantee new kerala comes close heels two road shows rallies kerala prime minister narendra modi earlier month,0.25,positive
oil tanker indians onboard hit missile navy sends help yemen houthi militants launched waves exploding drones missiles vessels since response israel military operations gaza,0.4939,positive
assailants hold lucknow factory workers captive decamp kg copper wire factory reportedly deals repairs electric transformers suggesting access valuable copper wiring,0.4767,positive
nitish kumar bihar news highlights nitish takes oath cm time bjp samrat choudhary vijay kumar sinha ministers bihar politics highlights nitish kumar news nitish kumar said left opposition india alliance work done,0.0,neutral
india bloc hits wall bihar alliance good start akhilesh statement comes time speculations rife bihar cm jd u president nitish kumar may return nda toppling mahagathbandhan government,0.4404,positive
woman son shot dead bareilly woman husband alleged suspected role family dohra village killings backing marriage proposal daughter,-0.891,negative
cm promoting lawlessness kerala governor arif mohammed khan gets security faceoff sfi kerala governor arif mohammed khan sat protest front shop kollam district sfi activists allegedly hit vehicle ended protest police lodged case people read fir,0.2263,positive
amid talks bihar cm nitish rejoining nda congress appoints cm baghel senior observer party activities state comes amid intense speculation bihar chief minister janata dal united leader nitish kumar potentially rejoining national democratic alliance nda disagreement india bloc arrangements upcoming lok sabha polls,0.5106,positive
ed issues fresh summons jharkhand cm hemant soren questioning money laundering case soren asked confirm availability questioning either january january,0.128,positive
day judge accused fellow judge sc stays proceedings calcutta hc matter calcutta hc judge accused fellow judge acting clearly political party state requested cji look matter supreme court issued notice cbi state west bengal petitioner,0.7003,positive
kerala hc suspends officials skit derogatory content pm govt alleged skit also insulted government flagships initiatives jal jeevan mission bharat ki azadi ka amrit mahotsav,-0.5106,negative
window conclude fta end march closing fast officials huddle mcc come effect day lok sabha poll schedule announced elections need held june term lok sabha ends,0.0,neutral
chambers carvings decorations asi report gyanvapi mosque describes temple hindu litigants claimed gyanvapi mosque built site earlier kashi vishwanath temple destruction century,-0.5719,negative
major rejig bihar ias ips officers transferred january senior ias officers assigned new postings major bureaucratic rejig,0.0,neutral
delhi confidential double delight isro tableau depicting successful mission rolled kartavya path several people stood clap including ministers mansukh mandaviya smriti irani science space minister jitendra singh,0.8271,positive
amid sluggish turnout states govt extends viksit bharat sankalp yatra cover civic bodies january vbsy events registered turnout odisha karnataka punjab bihar telangana tn compared haryana gujarat mp rajasthan among states assam exception average attendance,-0.296,negative
france raises issue notice journalist india shared position says kwatra matter taken new delhi visit french president emmanuel macron officials said,0.3612,positive
satyabrata mukherjee mithun chakraborty usha uthup get padma bhushan tmc criticises honour mithun switched bjp tmc,0.34,positive
two chhattisgarh among congress mlas named firs coal levy liquor scam cases six congress mlas devendra singh yadav chandradev prasad rai brihaspat singh gulab kamro u minj shishupal sori named coal levy case fir,-0.5719,negative
former serving cbi officers get police medals republic day former cbi joint director amit kumar posted chhattisgarh police adg led probe coal scam resulted convictions number cases,-0.5267,negative
govt using emotional issues divert attention hide truth mallikarjun kharge message congress chief says india decide whether able save values constitution go back age people equal,0.7964,positive
asi report kashi case judgment says mosque committee responding latest developments bjp leader union minister giriraj singh friday said muslims hand gyanvapi mosque site hindus said statements made disrupt communal harmony,0.7096,positive
cong adhir ranjan apologises derek brien calling foreigner sources said tmc leader accepted apology,0.4767,positive
air space ai sea india france adopt new roadmap defence production modi macron discuss gaza terror aid red sea disruptions,-0.5719,negative
j k lt guv manoj sinha republic day message unite terrorism drug menace isolate elements using double standards justify terror acts said manoj sinha addressing republic day parade,-0.9186,negative
tmc govt permitting rallies rahul gandhi bharat jodo nyay yatra west bengal adhir chowdhury bharat jodo nyay yatra runs trouble west bengal mamata banerjee announced tmc would contest lok sabha polls,-0.4019,negative
progress diversity women empowerment tableaus republic day showcase india aspirations achievements tableaus states union territories nine central ministries departments three wings armed forces rolled kartavya path republic day parade,0.4215,positive
padma shri recipient sathyanarayana beleri farmer conserved rice varieties farmer passed class exam last year literacy mission programme created paddy gene bank small plot land,0.25,positive
rajasthan man creates fake congress portal donations arrested party lodges complaint man created portal similar congress original website cheated people,-0.5574,negative
